plant_id,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
3,Null,38712,40552,28876,45731,188566,134189,111212,58898,21198,30257,33778
3,Null,4442863,2755384,2648729,2616856,4765922,5351964,4024962,2597303,2781837,4307046,5209603
3,Null,4428,116769,46331,104862,173482,174489,114158,62716,28103,0,0
3,Null,418010,482674,915534,801520,158214,1016535,1160534,756952,843744,143205,13
3,Null,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,Null,Null,Null,Null,Null,Null,Null,Null
10,1635,0,0,0,26,0,0,0,0,0,341,136
10,7548,6455,41718,19400,96078,66510,188842,367882,131393,53682,74571,9447
10,481583,519230,1111111,1248599,1096904,1615389,2242701,2328974,1313864,155944,314920,792404
26,42,62,49,36,42,42,41,50,55,56,58,51
26,1187,89271,3491,0,9280,133383,200438,101233,918,38021,154784,42940
26,10398,51299,21622,453767,1417352,2474337,4050643,3715907,1621489,2234276,1027285,837733
46,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0
54,3,3,1,290,98,125,5,5,5,198,296,3
54,225634,229247,44536,400410,726710,443999,897416,464709,293569,491805,420061,373459
56,Null,Null,Null,Null,Null,Null,Null,Null,0,0,0,0
56,Null,Null,Null,Null,Null,Null,Null,Null,971429,2058826,2747069,2719574
60,200,565,14,573,721,793,437,154,434,138,216,909
60,0,0,0,0,0,0,0,0,0,0,0,0
60,63315,50335,25634,18932,18793,103412,119991,116754,99591,15962,21826,62450
96,2114,4881,2078,8254,7263,7859,5937,9472,11008,5591,10982,32894
104,163,200,258,167,151,125,76,0,0,0,0,0
108,6662,6490,8332,18307,12664,8831,28136,7838,10813,6434,12312,17172
108,101160,81230,88855,44517,80712,94977,88706,114215,83180,82499,71597,65828
113,0,0,0,0,0,0,0,0,0,0,0,0
113,409,174,14,252,225,307,318,434,259,533,235,2
113,208,13,51,399,18,244,162,0,83,495,467,17
113,130856,124051,46729,34211,34126,4320,127449,109079,58790,102924,121904,155634
116,280962,352891,470551,593211,651555,420441,679857,755872,376214,514853,417211,583474
117,0,0,0,0,0,0,0,0,0,0,0,0
117,0,0,262130,1040617,1037879,834943,1221924,1088615,917138,1002888,1358688,795237
117,0,0,0,0,0,0,0,0,0,0,0,0
117,444631,232728,379158,879738,1489768,520851,2376079,2272162,1694286,2307556,2474594,995958
117,11897,8414,30552,64604,56369,2231,84023,16139,4129,26097,0,0
120,95,1,0,3,76,6,1117,0,112,0,62,0
120,208788,147509,141367,170445,106297,101230,363939,233933,140274,418547,230895,373994
120,0,0,0,0,15297,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0,0,0,0
126,0,0,343,0,1060,1800,1965,1381,0,0,0,0
126,468474,260430,500740,511056,390690,283408,512450,398215,253442,506743,606584,456935
126,0,0,0,0,0,0,Null,Null,Null,Null,Null,Null
126,270254,376836,1232497,1243844,941845,960152,1345436,1271196,1114404,320253,0,0
126,0,0,0,0,0,0,0,0,0,0,0,0
130,265069,162739,231844,230635,272650,325444,437966,438547,316096,291694,283593,271379
130,2707,3801,7439,5054,5092,4028,5629,3252,5924,2610,3654,5866
130,0,0,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0,0,0,0,0
136,0,0,804169,2504363,4467792,4489035,4493956,4683272,4243092,4717662,1946621,4854655
136,244153,196580,164743,128890,111010,105799,131169,132754,118142,128088,136936,127562
136,2747,1975,1181,3388,3058,3999,2825,5121,3636,2970,1500,1617
141,280,1908,3540,2944,3064,3038,1271,2661,2563,5299,1719,2258
141,0,0,0,0,0,0,0,0,0,0,0,0
141,4847,14846,18170,63133,28710,5250,56232,32924,774,18112,2444,2998
141,0,0,0,0,0,0,0,0,0,0,0,0
