plant_id,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
3,Null,39448,41120,29309,46463,192337,136873,112880,59723,21537,30771,34555
3,Null,4527277,2793959,2688460,2658726,4861240,5459003,4085336,2633665,2826346,4380266,5329424
3,Null,88427,2330009,913508,2085810,3413432,3404280,2266150,1266926,557732,0,0
3,Null,428042,501498,931098,815947,161378,1034833,1179103,769063,856400,145496,13
3,Null,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,Null,Null,Null,Null,Null,Null,Null,Null
10,9511,0,0,0,151,0,0,0,0,0,1984,791
10,7790,6649,42803,19982,99249,68705,194885,379654,135466,55400,77106,9778
10,496994,534807,1140000,1286057,1133102,1668697,2314467,2403501,1354594,160934,325627,820138
26,243,358,283,208,243,243,237,289,318,324,335,295
26,23906,2046984,71094,0,239869,3230136,4733544,2413496,21645,943111,3766823,1066758
26,10720,52633,22163,464657,1455621,2548567,4168112,3819952,1663648,2287899,1056049,864540
46,9507262,8133068,9856601,9538679,8531032,9291009,9513761,9506343,9273196,9812062,9561853,9795073
46,9721791,4771111,2421042,9561581,9687939,9221384,9466703,9397098,9125795,9711009,9560808,9881415
46,9436205,8468240,9376537,5907790,9416166,9020490,8992740,9033801,8844786,9607532,9344158,9716630
54,17,17,6,1688,570,728,29,29,29,1152,1723,17
54,239398,243690,47119,425636,773219,469751,948569,489803,309128,519346,445265,391758
56,Null,Null,Null,Null,Null,Null,Null,Null,0,0,0,0
56,Null,Null,Null,Null,Null,Null,Null,Null,991829,2102061,2810252,2793002
60,1151,3251,81,3297,4149,4563,2514,886,2497,794,1243,5230
60,0,0,0,0,0,0,0,0,0,0,0,0
60,1038303,821115,418347,309008,303883,1680445,1958493,1905542,1635284,262128,356375,1018872
96,2114,4881,2078,8254,7263,7859,5937,9472,11008,5591,10982,32894
104,0,0,0,0,0,0,0,0,0,0,0,0
108,6982,6957,8615,19405,13702,9608,30668,8324,11375,6884,12952,18254
108,1751080,1392282,1513023,759905,1416011,1666656,1593692,2015209,1474282,1414198,1251945,1176083
113,0,0,0,0,0,0,0,0,0,0,0,0
113,2224,946,76,1370,1224,1669,1729,2360,1408,2898,1278,11
113,181,11,44,343,15,210,139,0,71,425,487,15
113,2401469,2296928,886309,632117,638156,79648,2045174,2015235,1076445,1884127,2225967,2857907
116,286862,364536,483726,603296,667192,433054,700253,778548,386748,527209,427641,597477
117,0,0,0,0,0,0,0,0,0,0,0,0
117,0,0,268945,1059348,1062788,858321,1258582,1121273,942818,1026957,1394014,815118
117,0,0,0,0,0,0,0,0,0,0,0,0
117,454413,240408,389016,895573,1525522,535435,2447361,2340327,1741726,2362937,2538933,1020857
117,12159,8692,31346,65767,57722,2293,86544,16623,4245,26723,0,0
120,549,6,0,17,439,35,6455,0,647,0,358,0
120,214216,151639,144901,174195,108954,103761,373037,240951,144061,427755,235975,383344
120,0,0,0,0,15679,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0,0,0,0
126,0,0,353,0,1092,1854,2024,1422,0,0,0,0
126,482528,268243,515762,526388,402411,291910,528848,410161,261045,521945,624782,470643
126,0,0,0,0,0,0,Null,Null,Null,Null,Null,Null
126,278362,388141,1269472,1281159,970100,988957,1385799,1309332,1147836,329861,0,0
126,0,0,0,0,0,0,0,0,0,0,0,0
130,6314474,3930147,5679482,5592207,6685923,8076218,10805059,10528198,7730760,7216218,6996806,6650414
130,15674,22008,43072,29263,29483,23322,32592,18829,34300,15112,21157,33964
130,0,0,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0,0,0,0,0
136,0,0,824273,2556955,4552680,4596772,4601811,4781621,4332197,4816733,1989447,4971167
136,5815724,4733646,3957127,3093360,2712085,2539176,3134939,3206142,2860690,3047214,3286464,3015566
136,15575,11198,6661,19413,17247,22554,15933,28882,20507,16751,8460,9120
141,0,0,0,0,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0,0,0,0,0
141,4968,15336,18606,64901,29399,5402,57806,33879,796,18547,2508,3079
141,0,0,0,0,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0,0,0,0,0
141,144008,19536,0,75046,126311,109618,524610,306593,30570,171251,32052,25
145,130,0,4033,31162,10052,0,6728,252,19397,3224,266,706
145,0,0,0,0,0,0,0,0,0,0,0,0
147,45998,12640,16442,22230,15568,17743,33997,0,0,50,0,0
147,1151305,472924,545092,791476,556746,754837,1148959,1125530,635307,913839,805317,234666
147,81,226,23,226,545,41,64,12,6,220,186,476
147,4258,1402,43,9220,693,814,37849,6984,2606,3989,2270,754
148,549,0,1723,11389,4357,235,2764,65,19291,18312,0,672
148,0,0,0,0,0,0,0,0,0,0,0,0
153,612529,584670,588573,990821,1404693,1496769,1646727,1275914,661556,676347,701709,834777
154,218187,277979,427810,397955,401145,585097,479942,336945,282592,383331,265689,193699
160,0,0,0,0,0,0,0,0,0,0,0,0
160,398195,247809,81237,337153,303898,305270,663933,417093,91937,218912,163537,95726
160,0,0,0,0,0,0,0,0,0,0,0,0
160,163034,205450,1073494,380967,769794,1248981,1721886,1518724,1884233,1955139,1041163,1527894
160,1213142,949307,73320,0,0,568131,707028,856098,240302,75097,576014,455751
165,0,0,0,0,0,0,0,0,0,0,0,0
165,1823571,1698323,1720854,1537924,519977,1769641,1957251,1919601,1644609,631512,1760411,1946585
165,79970,57160,61213,0,49319,73399,63728,74470,29619,63281,43747,48459
165,355386,240677,101722,0,503126,1832584,1475536,2124765,181120,918812,1043678,198665
187,18817,94151,79810,26231,36638,9885,28770,19066,11666,4808,3879,9294
187,0,0,0,0,0,0,0,0,0,0,0,0
204,8373059,6146924,8424024,8074883,4275207,8142503,8418601,8322250,2504668,5184674,8266959,8512059
210,9348567,7952736,9200321,8240014,9458721,8998330,9092999,9194104,9100584,8263365,9240692,9543454
219,49280,85597,147487,201618,207122,85928,0,174,0,0,0,0
223,117810,123142,160094,205409,200615,80632,135422,151564,145733,33694,62334,64436
239,106076,118202,131321,122999,89493,131823,141110,141359,133778,126387,59253,40920
240,0,51262,148425,63200,101852,111992,275499,282619,232896,218989,79854,138363
246,1225,1068,1425,1452,1372,698,898,2176,1110,1251,881,710
246,409584,304667,362825,367753,266658,233211,279688,359953,229147,405999,276619,215318
246,0,0,0,0,0,0,0,0,0,0,0,0
249,160077,79203,88292,118540,97832,105260,145662,123136,96672,74617,123818,118011
260,0,0,0,0,0,0,0,0,0,0,0,0
260,0,0,0,0,0,0,0,0,0,0,0,0
260,3909604,3090266,3783699,2743292,262196,2129394,3745238,3435131,3139934,4237864,3795596,3810421
267,117765,91066,166130,215574,196258,107966,81516,75146,75163,73153,89596,89756
268,289317,130291,306408,373853,339559,181894,127121,109372,115752,124268,148354,142598
270,180972,106946,2450,0,62351,106830,85761,76429,76156,63658,85706,90026
272,274843,191778,286669,304572,299481,191454,139930,134375,184463,34461,53541,117700
275,272588,145447,258667,84672,38583,190110,140769,108276,170859,15637,39661,168826
286,1351998,1170449,1368792,1263095,1264003,1239651,1335621,1279974,1300545,1274849,1219810,1283888
298,0,0,0,0,0,0,0,0,0,0,0,0
298,58474,32643,33460,78071,64454,1758,26217,4509,5497,48066,51032,57515
298,0,0,0,0,0,0,0,0,0,0,0,0
298,5197191,1283874,2425356,2283135,6773103,8693099,8678421,10509128,9428625,5833575,5770363,6785152
315,669011,166163,233183,113352,50457,174369,2190981,1859220,801208,720867,866139,644292
319,0,4115,25986,0,0,0,46724,295953,329272,245729,157549,184442
320,9789,0,134791,202509,211841,207190,208391,152151,192590,132290,9127,77145
322,1157,5630,134464,144058,154731,202083,228508,186090,200220,194791,132229,142673
335,26211,1043,46855,21706,0,0,536865,353887,121664,218751,384585,205493
344,0,0,0,113517,189008,188820,196142,218620,217648,187694,80595,141052
350,26533,7511,0,85403,98279,161639,975951,1435932,0,387565,0,8742
356,111820,202409,120442,78930,21270,160217,1640278,883967,402830,419164,521103,294949
358,68962,54296,51646,13290,3252,10474,115184,91689,42543,40244,29055,152695
358,2107492,1518968,1373855,509483,238492,255149,2897589,3159056,1426201,2061634,1174755,3207128
371,8684639,8092394,8747557,7201159,977995,2732831,8679373,8774607,8568018,8627530,8512884,8530082
377,0,0,0,0,0,0,0,0,0,0,0,0
377,0,0,98,0,0,0,0,0,0,0,0,0
377,38,1207,27,0,3210,4169,130966,107321,6756,14,0,4345
377,0,0,0,0,0,0,0,0,0,0,0,0
